Size,np,ComputeTime,CommunicationTime,TotalTime
480,1,0.129132,0.003340,0.132472
480,4,0.036685,0.014296,0.050981
480,9,0.032439,0.040943,0.073383
480,16,0.029052,0.056298,0.085350
480,25,0.021643,0.074290,0.095933
480,36,0.016879,0.064237,0.081116
960,1,5.969586,0.018466,5.988053
960,4,0.419461,0.087075,0.506536
960,9,0.292040,0.231050,0.523090
960,16,0.182805,0.205670,0.388476
960,25,0.116384,0.308181,0.424565
960,36,0.106798,0.285889,0.392687
1920,1,53.917074,0.073404,53.990478
1920,4,13.416975,0.307171,13.724147
1920,9,11.140990,6.859824,18.000814
1920,16,5.507139,1.525566,7.032705
1920,25,1.551143,1.915776,3.466919
1920,36,0.730797,1.328067,2.058864
3840,1,688.465545,0.291859,688.757405
3840,4,120.368542,2.929501,123.298043
3840,9,99.472390,55.852923,155.325313
3840,16,55.290320,4.341023,59.631342
3840,25,32.965987,21.572310,54.538297
3840,36,22.643514,15.347937,37.991451
