Size,np,ComputeTime,CommunicationTime,TotalTime
480,1,0.122982,0.001221,0.124204
480,2,0.064967,0.005569,0.070536
480,4,0.103600,0.074732,0.178332
480,8,0.180397,0.010613,0.191010
480,16,0.089128,0.069806,0.158934
480,32,0.045091,0.072303,0.117394
960,1,6.003898,0.005873,6.009770
960,2,3.134429,0.130896,3.265324
960,4,1.699895,0.031971,1.731867
960,8,1.712972,0.028221,1.741193
960,16,0.890991,0.223553,1.114545
960,32,0.455247,0.197011,0.652258
1920,1,54.406183,0.023184,54.429367
1920,2,28.092956,0.441549,28.534505
1920,4,14.987925,0.284125,15.272051
1920,8,15.972086,0.949254,16.921339
1920,16,7.919367,0.950324,8.869690
1920,32,3.972619,0.951310,4.923929
3840,1,644.444516,0.092723,644.537240
3840,2,372.240400,54.030532,426.270932
3840,4,280.968234,31.019727,311.987961
3840,8,335.350666,4.973224,340.323891
3840,16,167.598907,21.362711,188.961618
3840,32,83.914514,13.475475,97.389989
