Size,np,ComputeTime,CommunicationTime,TotalTime
1200,1,0.001618,0.004693,0.006311
1200,2,0.001348,0.004667,0.006015
1200,4,0.000482,0.004671,0.005153
1200,8,0.000244,0.006063,0.006307
1200,16,0.001150,0.053966,0.055116
2400,1,0.005639,0.018286,0.023925
2400,2,0.004578,0.017806,0.022384
2400,4,0.002451,0.019878,0.022329
2400,8,0.001426,0.023960,0.025385
2400,16,0.000824,0.211070,0.211894
2400,32,0.001487,0.301794,0.303281
4800,1,0.021822,0.072170,0.093992
4800,2,0.017308,0.069687,0.086995
4800,4,0.008923,0.074928,0.083851
4800,8,0.004639,0.090395,0.095034
4800,16,0.002633,0.841132,0.843765
4800,32,0.008250,1.205780,1.214030
9600,1,0.086474,0.291146,0.377620
9600,2,0.069145,0.275380,0.344525
9600,4,0.034584,0.295451,0.330035
9600,8,0.017578,0.356768,0.374346
9600,16,0.051457,3.359673,3.411130
9600,32,0.025504,4.829387,4.854891
19200,1,0.469885,6.657938,7.127823
19200,2,0.402013,20.999462,21.401475
19200,4,0.271925,8.641109,8.913033
19200,8,0.134806,9.144453,9.279259
19200,16,0.138974,13.614117,13.753091
19200,32,0.105735,19.272631,19.378366
