Size,np,ComputeTime,CommunicationTime,TotalTime
1200,1,0.001170,0.005624,0.006794
1200,2,0.001009,0.010612,0.011621
1200,4,0.000626,0.011766,0.012393
1200,8,0.000207,0.008814,0.009022
2400,1,0.004352,0.024952,0.029304
2400,2,0.002772,0.025509,0.028281
2400,4,0.001460,0.028546,0.030006
2400,8,0.000872,0.036625,0.037496
4800,1,0.017731,0.093188,0.110919
4800,2,0.010064,0.101082,0.111147
4800,4,0.005699,0.111429,0.117127
4800,8,0.003472,0.138160,0.141632
9600,1,0.069460,0.344539,0.414000
9600,2,0.036767,0.380382,0.417148
9600,4,0.028382,0.462196,0.490578
9600,8,0.013988,0.522764,0.536752
19200,1,0.359899,1.483606,1.843505
19200,2,0.218319,1.927565,2.145884
19200,4,0.121429,2.330027,2.451456
19200,8,0.063554,2.576837,2.640391
