NX,NY,Reynolds,np,ComputeTime,CommunicationTime,TotalTime
100,50,100,1,0.249321,0.015681,0.000218
100,50,100,2,0.119418,1.356976,0.000170
100,50,100,4,0.053763,4.077423,0.000033
100,50,100,8,0.080156,133.215555,0.000032
100,50,100,16,0.031824,215.958016,0.000035
100,50,100,32,0.021412,173.907611,0.000006
100,50,100,64,0.003677,10.527083,0.000007
100,50,500,1,0.086687,0.004576,0.000072
100,50,500,2,0.065451,0.112464,0.000065
100,50,500,4,0.025419,0.139110,0.000025
100,50,500,8,0.014258,0.188880,0.000014
100,50,500,16,0.007841,0.235274,0.000008
100,50,500,32,0.004390,0.606015,0.000004
100,50,500,64,0.002995,15.122234,0.000004
100,50,1000,1,0.100249,0.004973,0.000100
100,50,1000,2,0.050102,0.081874,0.000050
100,50,1000,4,0.025589,0.127715,0.000026
100,50,1000,8,0.014363,0.162100,0.000014
100,50,1000,16,0.008400,0.179991,0.000010
100,50,1000,32,0.004978,1.099382,0.000008
100,50,1000,64,0.004646,20.246002,0.000003
200,100,100,1,0.285367,0.003841,0.000285
200,100,100,2,0.254342,0.337772,0.000202
200,100,100,4,0.108958,0.456763,0.000108
200,100,100,8,0.068504,0.550555,0.000065
200,100,100,16,0.034865,0.625880,0.000036
200,100,100,32,0.026574,1.779061,0.000025
200,100,100,64,0.009699,26.965350,0.000012
200,100,500,1,0.289046,0.003923,0.000284
200,100,500,2,0.143486,0.313225,0.000143
200,100,500,4,0.078525,0.468991,0.000072
200,100,500,8,0.049549,0.599832,0.000036
200,100,500,16,0.032186,0.719359,0.000032
200,100,500,32,0.020774,0.851792,0.000021
200,100,500,64,0.009966,5.405836,0.000048
200,100,1000,1,0.276643,0.003567,0.000288
200,100,1000,2,0.142598,0.351717,0.000137
200,100,1000,4,0.070483,0.510831,0.000071
200,100,1000,8,0.049636,0.683712,0.000037
200,100,1000,16,0.032220,0.678983,0.000032
200,100,1000,32,0.020284,0.917832,0.000020
200,100,1000,64,0.009429,3.941187,0.000015
400,200,100,1,1.100610,0.004991,0.001091
400,200,100,2,0.552988,0.231763,0.000549
400,200,100,4,0.307763,0.395534,0.000287
400,200,100,8,0.203412,0.458733,0.000200
400,200,100,16,0.130333,0.647071,0.000130
400,200,100,32,0.065738,0.671187,0.000065
400,200,100,64,0.037785,5.245488,0.000100
400,200,500,1,1.147409,0.005880,0.001091
400,200,500,2,0.594739,1.807282,0.000579
400,200,500,4,0.348726,2.573044,0.000285
400,200,500,8,0.183516,2.865135,0.000143
400,200,500,16,0.129826,2.980239,0.000129
400,200,500,32,0.068061,4.077866,0.000067
400,200,500,64,0.031636,9.318823,0.000033
400,200,1000,1,1.147833,0.005576,0.001154
400,200,1000,2,0.594636,1.499796,0.000535
400,200,1000,4,0.294174,2.142181,0.000271
400,200,1000,8,0.167860,2.517456,0.000136
400,200,1000,16,0.090936,2.571009,0.000070
400,200,1000,32,0.064980,3.410321,0.000065
400,200,1000,64,0.032985,4.492727,0.000036
800,400,100,1,4.932585,0.008578,0.004914
800,400,100,2,2.553506,1.763309,0.002516
800,400,100,4,1.488533,1.879160,0.001524
800,400,100,8,0.586684,2.124427,0.000542
800,400,100,16,0.317174,2.265468,0.000288
800,400,100,32,0.257985,2.937894,0.000261
800,400,100,64,0.146128,4.044378,0.000197
800,400,500,1,4.867034,0.008345,0.004773
800,400,500,2,2.587706,6.741822,0.002612
800,400,500,4,1.917831,9.758076,0.001931
800,400,500,8,0.581330,10.964188,0.000545
800,400,500,16,0.348619,12.402508,0.000279
800,400,500,32,0.261589,16.522105,0.000261
800,400,500,64,0.130682,19.165906,0.000163
800,400,1000,1,4.803576,0.008132,0.004947
800,400,1000,2,2.733194,7.553002,0.002889
800,400,1000,4,1.106454,8.949968,0.001057
800,400,1000,8,0.581667,10.568546,0.000535
800,400,1000,16,0.327012,11.847926,0.000275
800,400,1000,32,0.257912,13.566370,0.000254
800,400,1000,64,0.252349,47.535185,0.000555
