N,np,ComputeTime,CommunicationTime,TotalTime,Iterations
128,1,0.001006,0.000090,0.001124,9
128,2,0.000392,0.000158,0.000564,9
128,4,0.000161,0.000310,0.000474,9
128,8,0.000166,0.000542,0.000708,9
128,16,0.001631,0.016806,0.017519,9
128,32,0.003209,0.048653,0.048936,9
256,1,0.001941,0.000210,0.002169,8
256,2,0.000911,0.000310,0.001230,8
256,4,0.000500,0.000935,0.001434,8
256,8,0.000518,0.000789,0.001290,8
256,16,0.005701,0.022664,0.023084,8
256,32,0.007144,0.067954,0.068803,8
512,1,0.006446,0.000785,0.007253,7
512,2,0.003136,0.000783,0.003935,7
512,4,0.003022,0.001335,0.004359,7
512,8,0.001627,0.001527,0.003236,7
512,16,0.002841,0.020872,0.021905,7
512,32,0.006036,0.045856,0.046495,7
1024,1,0.024073,0.003421,0.027535,7
1024,2,0.012516,0.003756,0.016292,7
1024,4,0.006694,0.004024,0.010709,7
1024,8,0.006499,0.005353,0.012067,7
1024,16,0.009563,0.052408,0.055794,7
1024,32,0.014153,0.082672,0.084566,7
2048,1,0.083373,0.013459,0.096874,6
2048,2,0.043197,0.013756,0.056975,6
2048,4,0.023284,0.014282,0.037577,6
2048,8,0.021995,0.018820,0.041026,6
2048,16,0.017910,0.169323,0.180649,6
2048,32,0.011782,0.242508,0.248571,6
4056,1,0.326571,0.051746,0.378352,6
4056,2,0.168706,0.052648,0.221372,6
4056,4,0.090202,0.055390,0.145612,6
4056,8,0.085026,0.071576,0.156796,6
4056,16,0.061020,0.638332,0.681966,6
4056,32,0.050227,0.966502,0.989004,6
8112,1,1.090582,0.206226,1.296836,5
8112,2,0.560221,0.202974,0.763200,5
8112,4,0.299432,0.215593,0.515003,5
8112,8,0.282027,0.275029,0.557243,5
8112,16,0.168726,2.443838,2.585407,5
8112,32,0.091167,3.471949,3.544847,5
16224,1,4.373017,0.794856,5.167885,5
16224,2,2.239118,0.766598,3.005701,5
16224,4,1.208740,0.785167,1.993882,5
16224,8,1.132491,1.072734,2.205321,5
16224,16,0.593561,9.731418,10.292288,5
16224,32,0.307504,13.864063,14.152090,5
