N,np,ComputeTime,CommunicationTime,TotalTime,Iterations
128,1,0.000475,0.000079,0.000568,9
128,2,0.000269,0.000175,0.000453,9
128,4,0.000192,0.000364,0.000548,9
128,8,0.000066,0.000348,0.000423,9
256,1,0.001748,0.000305,0.002068,8
256,2,0.001134,0.000529,0.001674,8
256,4,0.000579,0.000793,0.001383,8
256,8,0.000268,0.001043,0.001318,8
512,1,0.006318,0.001066,0.007407,7
512,2,0.003400,0.001452,0.004864,7
512,4,0.001756,0.001563,0.003308,7
512,8,0.000950,0.002154,0.003058,7
1024,1,0.021365,0.003967,0.025348,7
1024,2,0.010711,0.003810,0.014524,7
1024,4,0.006349,0.004929,0.011269,7
1024,8,0.003882,0.005909,0.009759,7
2048,1,0.071382,0.015220,0.086625,6
2048,2,0.037220,0.016002,0.053228,6
2048,4,0.021587,0.018485,0.039995,6
2048,8,0.013800,0.023697,0.037436,6
4056,1,0.281252,0.060800,0.342074,6
4056,2,0.156288,0.073785,0.230067,6
4056,4,0.087722,0.087480,0.175183,6
4056,8,0.053017,0.093085,0.146012,6
8112,1,0.934982,0.227493,1.162480,5
8112,2,0.486774,0.245372,0.732130,5
8112,4,0.281110,0.282215,0.563317,5
8112,8,0.177026,0.352431,0.529387,5
16224,1,3.728383,0.915348,4.643705,5
16224,2,1.949044,0.964454,2.913469,5
16224,4,1.127110,1.123347,2.250394,5
16224,8,0.711353,1.384095,2.095297,5
