Conjugate Gradient Method - Local PC Environment Results
=============================================

Environment: AMD Ryzen 7 5800H (8 cores, 16 threads)

Format: ComputeTime/CommunicationTime (seconds)

      | np=1    | np=2    | np=4    | np=8    |
------|----------|----------|----------|----------|
N=128 | 0.000475/0.000079 | 0.000269/0.000175 | 0.000192/0.000364 | 0.000066/0.000348 |
N=256 | 0.001748/0.000305 | 0.001134/0.000529 | 0.000579/0.000793 | 0.000268/0.001043 |
N=512 | 0.006318/0.001066 | 0.003400/0.001452 | 0.001756/0.001563 | 0.000950/0.002154 |
N=1024| 0.021365/0.003967 | 0.010711/0.003810 | 0.006349/0.004929 | 0.003882/0.005909 |
N=2048| 0.071382/0.015220 | 0.037220/0.016002 | 0.021587/0.018485 | 0.013800/0.023697 |
N=4056| 0.281252/0.060800 | 0.156288/0.073785 | 0.087722/0.087480 | 0.053017/0.093085 |
N=8112| 0.934982/0.227493 | 0.486774/0.245372 | 0.281110/0.282215 | 0.177026/0.352431 |
N=16224| 3.728383/0.915348 | 1.949044/0.964454 | 1.127110/1.123347 | 0.711353/1.384095 |

All tests completed. Results saved to conjugate_gradient_results_local
