Conjugate Gradient Method - Multicore Environment Results
=============================================

Environment B (Multicore System - 1 CPU with 64 cores)

Format: ComputeTime/CommunicationTime (seconds)

      | np=1    | np=2    | np=4    | np=8    | np=16   | np=32   | np=64   |
------|----------|----------|----------|----------|----------|----------|----------|
N=128 | 0.000996/0.000045 | 0.000973/0.006129 | 0.008170/0.026892 | 0.083008/0.463604 | 0.020019/2.687905 | 0.063742/3.537295 | 0.025067/0.083512 |
N=256 | 0.002089/0.000180 | 0.033229/0.367472 | 0.076618/1.150076 | 0.019647/0.058827 | 0.083835/2.055929 | 0.074838/2.327217 | 0.017574/0.366977 |
N=512 | 0.006994/0.000702 | 0.009780/0.004692 | 0.018153/0.082291 | 0.018102/0.041397 | 0.074452/2.046324 | 0.176237/3.819656 | 0.007403/0.204531 |
N=1024| 0.097155/0.011000 | 0.034283/0.096793 | 0.043608/0.161356 | 0.076204/0.085387 | 0.053401/2.274747 | 0.134117/3.927832 | 0.017962/0.504910 |
N=2048| 0.300135/0.024716 | 0.142223/0.049279 | 0.134261/0.838376 | 0.034678/1.631459 | 0.042707/1.661492 | 0.127271/2.331067 | 0.008010/0.371060 |
N=4056| 0.532642/0.070169 | 0.462662/0.169118 | 0.201778/0.814753 | 0.175285/0.787123 | 0.156663/2.435641 | 0.096342/3.091404 | 0.013254/0.545559 |
N=8112| 2.682763/0.372640 | 1.304741/0.583243 | 0.818246/0.828468 | 0.624486/1.896929 | 0.278317/3.112137 | 0.601259/7.981984 | 0.116121/0.820722 |
N=16224| 5.698665/0.660270 | 3.949524/1.334697 | 2.583163/1.695154 | 2.272907/3.326141 | 1.661221/5.172087 | 1.436308/12.694702 | 0.363836/3.336397 |

All tests completed. Results saved to conjugate_gradient_results_multicore
