N,np,ComputeTime,CommunicationTime,TotalTime,Iterations
128,1,0.000282,0.000060,0.000346,5
128,2,0.000147,0.000131,0.000281,5
128,4,0.000062,0.000270,0.000338,5
128,8,0.000060,0.000374,0.000448,5
128,16,0.000032,0.012581,0.012721,5
128,32,0.000031,0.027581,0.027938,5
256,1,0.000912,0.000198,0.001114,5
256,2,0.000528,0.000272,0.000805,5
256,4,0.000241,0.000325,0.000572,5
256,8,0.000232,0.000594,0.000840,5
256,16,0.000118,0.017066,0.017388,5
256,32,0.000062,0.039744,0.040046,5
512,1,0.002828,0.000711,0.003550,4
512,2,0.001559,0.000794,0.002368,4
512,4,0.000737,0.001678,0.002430,4
512,8,0.000737,0.001351,0.002107,4
512,16,0.000368,0.024722,0.025163,4
512,32,0.000464,0.842329,0.842984,4
1024,1,0.011425,0.003529,0.014973,4
1024,2,0.005936,0.003663,0.009616,4
1024,4,0.003239,0.003965,0.007214,4
1024,8,0.003138,0.005180,0.008329,4
1024,16,0.001501,0.044981,0.046590,4
1024,32,0.000736,0.074878,0.075690,4
2048,1,0.046929,0.013939,0.060913,4
2048,2,0.024263,0.014031,0.038318,4
2048,4,0.013824,0.014378,0.028235,4
2048,8,0.013103,0.018748,0.031889,4
2048,16,0.009341,0.176971,0.186452,4
2048,32,0.003043,0.235878,0.239146,4
4056,1,0.137623,0.051899,0.189583,3
4056,2,0.071094,0.052580,0.123717,3
4056,4,0.040146,0.054567,0.094752,3
4056,8,0.037885,0.070736,0.108678,3
4056,16,0.019294,0.637894,0.657362,3
4056,32,0.009565,0.881694,0.891423,3
8112,1,0.549349,0.205662,0.755132,3
8112,2,0.283366,0.201967,0.485406,3
8112,4,0.152370,0.205802,0.358218,3
8112,8,0.143110,0.273727,0.416878,3
8112,16,0.073935,2.441168,2.515362,3
8112,32,0.037764,3.504335,3.542491,3
16224,1,2.209512,0.797330,3.007081,3
16224,2,1.137437,0.753403,1.890962,3
16224,4,0.602084,0.779145,1.381310,3
16224,8,0.562145,1.082235,1.644475,3
16224,16,0.281138,9.691330,9.972562,3
16224,32,0.143841,13.913335,14.057484,3
