Gauss-Seidel Iteration - Cluster Environment Results
=============================================

Environment A (8 Nodes Cluster)

Format: ComputeTime/CommunicationTime (seconds)


      | np=1    | np=2    | np=4    | np=8    | np=16   | np=32   |
------|----------|----------|----------|----------|----------|----------|
N=128 | 0.000282/0.000060 | 0.000147/0.000131 | 0.000062/0.000270 | 0.000060/0.000374 | 0.000032/0.012581 | 0.000031/0.027581 |
N=256 | 0.000912/0.000198 | 0.000528/0.000272 | 0.000241/0.000325 | 0.000232/0.000594 | 0.000118/0.017066 | 0.000062/0.039744 |
N=512 | 0.002828/0.000711 | 0.001559/0.000794 | 0.000737/0.001678 | 0.000737/0.001351 | 0.000368/0.024722 | 0.000464/0.842329 |
N=1024| 0.011425/0.003529 | 0.005936/0.003663 | 0.003239/0.003965 | 0.003138/0.005180 | 0.001501/0.044981 | 0.000736/0.074878 |
N=2048| 0.046929/0.013939 | 0.024263/0.014031 | 0.013824/0.014378 | 0.013103/0.018748 | 0.009341/0.176971 | 0.003043/0.235878 |
N=4056| 0.137623/0.051899 | 0.071094/0.052580 | 0.040146/0.054567 | 0.037885/0.070736 | 0.019294/0.637894 | 0.009565/0.881694 |
N=8112| 0.549349/0.205662 | 0.283366/0.201967 | 0.152370/0.205802 | 0.143110/0.273727 | 0.073935/2.441168 | 0.037764/3.504335 |
N=16224| 2.209512/0.797330 | 1.137437/0.753403 | 0.602084/0.779145 | 0.562145/1.082235 | 0.281138/9.691330 | 0.143841/13.913335 |

All tests completed. Results saved to gauss_seidel_results_cluster
