N,np,ComputeTime,CommunicationTime,TotalTime,Iterations
128,1,0.000357,0.000086,0.000446,5
128,2,0.000176,0.000142,0.000320,5
128,4,0.000089,0.000230,0.000322,5
128,8,0.000045,0.000351,0.000398,5
256,1,0.001399,0.000316,0.001720,5
256,2,0.000764,0.000597,0.001366,5
256,4,0.000355,0.000549,0.000909,5
256,8,0.000206,0.001057,0.001267,5
512,1,0.004490,0.001420,0.005916,4
512,2,0.002223,0.001453,0.003690,4
512,4,0.001200,0.001523,0.002738,4
512,8,0.000826,0.001514,0.002355,4
1024,1,0.012356,0.004007,0.016375,4
1024,2,0.005905,0.003862,0.009776,4
1024,4,0.004278,0.006745,0.011041,4
1024,8,0.002213,0.005961,0.008178,4
2048,1,0.049262,0.014828,0.064115,4
2048,2,0.025743,0.016756,0.042519,4
2048,4,0.014219,0.018837,0.033065,4
2048,8,0.008968,0.023177,0.032164,4
4056,1,0.145379,0.058408,0.203827,3
4056,2,0.076834,0.062343,0.139205,3
4056,4,0.044519,0.073351,0.117888,3
4056,8,0.029064,0.108378,0.137485,3
8112,1,0.563333,0.227369,0.790781,3
8112,2,0.289882,0.241813,0.531740,3
8112,4,0.166488,0.281277,0.447814,3
8112,8,0.104592,0.351363,0.455997,3
16224,1,2.231861,0.906443,3.138469,3
16224,2,1.162823,0.970169,2.133078,3
16224,4,0.666030,1.117049,1.783131,3
16224,8,0.415859,1.407855,1.823776,3
