Gauss-Seidel Iteration - Local PC Environment Results
=================================================

Environment: AMD Ryzen 7 5800H (8 cores, 16 threads)

Format: ComputeTime/CommunicationTime (seconds)

      | np=1    | np=2    | np=4    | np=8    |
------|----------|----------|----------|----------|
N=128 | 0.000357/0.000086 | 0.000176/0.000142 | 0.000089/0.000230 | 0.000045/0.000351 |
N=256 | 0.001399/0.000316 | 0.000764/0.000597 | 0.000355/0.000549 | 0.000206/0.001057 |
N=512 | 0.004490/0.001420 | 0.002223/0.001453 | 0.001200/0.001523 | 0.000826/0.001514 |
N=1024| 0.012356/0.004007 | 0.005905/0.003862 | 0.004278/0.006745 | 0.002213/0.005961 |
N=2048| 0.049262/0.014828 | 0.025743/0.016756 | 0.014219/0.018837 | 0.008968/0.023177 |
N=4056| 0.145379/0.058408 | 0.076834/0.062343 | 0.044519/0.073351 | 0.029064/0.108378 |
N=8112| 0.563333/0.227369 | 0.289882/0.241813 | 0.166488/0.281277 | 0.104592/0.351363 |
N=16224| 2.231861/0.906443 | 1.162823/0.970169 | 0.666030/1.117049 | 0.415859/1.407855 |

All tests completed. Results saved to gauss_seidel_results_local
