N,np,ComputeTime,CommunicationTime,TotalTime,Iterations
128,1,0.000400,0.000076,0.000477,7
128,2,0.000176,0.000106,0.000285,7
128,4,0.000120,0.000229,0.000353,7
128,8,0.000060,0.000476,0.000547,7
256,1,0.001654,0.000346,0.002001,6
256,2,0.000741,0.000428,0.001181,6
256,4,0.000479,0.000489,0.000983,6
256,8,0.000259,0.001003,0.001293,6
512,1,0.005539,0.001391,0.006931,5
512,2,0.002437,0.001838,0.004278,5
512,4,0.001325,0.001713,0.003040,5
512,8,0.000461,0.001572,0.002034,5
1024,1,0.015063,0.004041,0.019106,5
1024,2,0.010247,0.008229,0.018482,5
1024,4,0.004357,0.004747,0.009107,5
1024,8,0.002685,0.005916,0.008612,5
2048,1,0.048083,0.015767,0.063852,4
2048,2,0.024799,0.016542,0.041362,4
2048,4,0.014121,0.018786,0.032917,4
2048,8,0.008921,0.023139,0.032080,4
4056,1,0.193100,0.058670,0.251771,4
4056,2,0.107151,0.064204,0.171373,4
4056,4,0.061792,0.078059,0.139863,4
4056,8,0.037978,0.100127,0.138142,4
8112,1,0.739844,0.227859,0.967705,4
8112,2,0.393860,0.241464,0.635348,4
8112,4,0.220759,0.282273,0.503073,4
8112,8,0.139054,0.355208,0.494288,4
16224,1,2.231238,0.904124,3.135364,3
16224,2,1.158585,0.973303,2.131892,3
16224,4,0.662321,1.125102,1.787427,3
16224,8,0.414212,1.386885,1.801133,3
