N,np,ComputeTime,CommunicationTime
128,1,0.000404,0.000063
128,2,0.000234,0.000146
128,4,0.000084,0.000281
128,8,0.000080,0.000339
128,16,0.000041,0.008297
128,32,0.000022,0.022971
256,1,0.001265,0.000216
256,2,0.000594,0.000238
256,4,0.000282,0.000615
256,8,0.000273,0.000534
256,16,0.000137,0.008657
256,32,0.000069,0.031925
512,1,0.003808,0.000759
512,2,0.001781,0.000704
512,4,0.001768,0.000921
512,8,0.000894,0.001239
512,16,0.000445,0.015180
512,32,0.000221,0.035310
1024,1,0.014008,0.003409
1024,2,0.007297,0.003499
1024,4,0.003781,0.007545
1024,8,0.003859,0.004867
1024,16,0.001843,0.046063
1024,32,0.001823,0.062792
2048,1,0.045548,0.013434
2048,2,0.023609,0.013100
2048,4,0.013323,0.013357
2048,8,0.012674,0.017720
2048,16,0.009847,0.155763
2048,32,0.003134,0.234725
4056,1,0.178970,0.052489
4056,2,0.092469,0.051494
4056,4,0.051525,0.053244
4056,8,0.049498,0.068682
4056,16,0.025028,0.623151
4056,32,0.012781,0.893408
8112,1,0.715512,0.200728
8112,2,0.368020,0.197228
8112,4,0.194835,0.199124
8112,8,0.185539,0.269880
8112,16,0.092929,2.433348
8112,32,0.046396,3.497284
16224,1,2.151557,0.822549
16224,2,1.108887,0.752031
16224,4,0.585532,0.781756
16224,8,0.558852,1.075927
16224,16,0.279194,10.226991
16224,32,0.140029,14.055045
