Jacobi Iteration - Cluster Environment Results
=============================================

Environment A (8 Nodes Cluster)

Format: ComputeTime/CommunicationTime (seconds)

      | np=1    | np=2    | np=4    | np=8    | np=16   | np=32   |
------|----------|----------|----------|----------|----------|----------|
N=128 | 0.000404/0.000063 | 0.000234/0.000146 | 0.000084/0.000281 | 0.000080/0.000339 | 0.000041/0.008297 | 0.000022/0.022971 |
N=256 | 0.001265/0.000216 | 0.000594/0.000238 | 0.000282/0.000615 | 0.000273/0.000534 | 0.000137/0.008657 | 0.000069/0.031925 |
N=512 | 0.003808/0.000759 | 0.001781/0.000704 | 0.001768/0.000921 | 0.000894/0.001239 | 0.000445/0.015180 | 0.000221/0.035310 |
N=1024| 0.014008/0.003409 | 0.007297/0.003499 | 0.003781/0.007545 | 0.003859/0.004867 | 0.001843/0.046063 | 0.001823/0.062792 |
N=2048| 0.045548/0.013434 | 0.023609/0.013100 | 0.013323/0.013357 | 0.012674/0.017720 | 0.009847/0.155763 | 0.003134/0.234725 |
N=4056| 0.178970/0.052489 | 0.092469/0.051494 | 0.051525/0.053244 | 0.049498/0.068682 | 0.025028/0.623151 | 0.012781/0.893408 |
N=8112| 0.715512/0.200728 | 0.368020/0.197228 | 0.194835/0.199124 | 0.185539/0.269880 | 0.092929/2.433348 | 0.046396/3.497284 |
N=16224| 2.151557/0.822549 | 1.108887/0.752031 | 0.585532/0.781756 | 0.558852/1.075927 | 0.279194/10.226991 | 0.140029/14.055045 |

All tests completed. Results saved to jacobi_results_cluster
