N,np,ComputeTime,CommunicationTime
128,1,0.000412,0.000046
128,2,0.000521,0.002305
128,4,0.000814,0.006211
128,8,0.000223,0.011537
128,16,0.000024,0.384264
128,32,0.000013,1.007384
128,64,0.000007,0.096328
256,1,0.001914,0.000291
256,2,0.001081,0.001806
256,4,0.003229,0.006066
256,8,0.002198,0.032896
256,16,0.000295,0.443762
256,32,0.000038,0.466179
256,64,0.000685,0.042942
512,1,0.006695,0.001048
512,2,0.003499,0.001593
512,4,0.008793,0.011972
512,8,0.010195,0.161722
512,16,0.000258,0.602178
512,32,0.000143,1.331848
512,64,0.000453,0.077085
1024,1,0.027528,0.014729
1024,2,0.020816,0.152181
1024,4,0.016862,0.025852
1024,8,0.003737,0.256372
1024,16,0.003990,0.540931
1024,32,0.005276,0.693200
1024,64,0.000283,0.101823
2048,1,0.161043,0.040739
2048,2,0.092393,0.048217
2048,4,0.063694,0.061358
2048,8,0.031093,0.431763
2048,16,0.003303,1.128883
2048,32,0.009673,0.860074
2048,64,0.003004,0.098827
4056,1,0.192844,0.035037
4056,2,0.138054,0.042019
4056,4,0.060891,0.227043
4056,8,0.047138,0.739904
4056,16,0.022358,1.211484
4056,32,0.039816,1.620709
4056,64,0.003102,0.205589
8112,1,1.830867,0.287898
8112,2,1.127226,0.542043
8112,4,0.478412,0.944869
8112,8,0.343772,1.287037
8112,16,0.188202,2.323823
8112,32,0.108596,2.932642
8112,64,0.025018,0.784012
16224,1,2.820205,0.858926
16224,2,1.806293,1.225616
16224,4,0.959157,1.978076
16224,8,0.448443,2.647712
16224,16,0.629567,4.115434
16224,32,0.289264,4.109623
16224,64,0.116298,3.098442
