Jacobi Iteration - Multicore Environment Results
=============================================

Environment B (Multicore System - 1 CPU with 64 cores)

Format: ComputeTime/CommunicationTime (seconds)

      | np=1    | np=2    | np=4    | np=8    | np=16   | np=32   | np=64   |
------|----------|----------|----------|----------|----------|----------|----------|
N=128 | 0.000412/0.000046 | 0.000521/0.002305 | 0.000814/0.006211 | 0.000223/0.011537 | 0.000024/0.384264 | 0.000013/1.007384 | 0.000007/0.096328 |
N=256 | 0.001914/0.000291 | 0.001081/0.001806 | 0.003229/0.006066 | 0.002198/0.032896 | 0.000295/0.443762 | 0.000038/0.466179 | 0.000685/0.042942 |
N=512 | 0.006695/0.001048 | 0.003499/0.001593 | 0.008793/0.011972 | 0.010195/0.161722 | 0.000258/0.602178 | 0.000143/1.331848 | 0.000453/0.077085 |
N=1024| 0.027528/0.014729 | 0.020816/0.152181 | 0.016862/0.025852 | 0.003737/0.256372 | 0.003990/0.540931 | 0.005276/0.693200 | 0.000283/0.101823 |
N=2048| 0.161043/0.040739 | 0.092393/0.048217 | 0.063694/0.061358 | 0.031093/0.431763 | 0.003303/1.128883 | 0.009673/0.860074 | 0.003004/0.098827 |
N=4056| 0.192844/0.035037 | 0.138054/0.042019 | 0.060891/0.227043 | 0.047138/0.739904 | 0.022358/1.211484 | 0.039816/1.620709 | 0.003102/0.205589 |
N=8112| 1.830867/0.287898 | 1.127226/0.542043 | 0.478412/0.944869 | 0.343772/1.287037 | 0.188202/2.323823 | 0.108596/2.932642 | 0.025018/0.784012 |
N=16224| 2.820205/0.858926 | 1.806293/1.225616 | 0.959157/1.978076 | 0.448443/2.647712 | 0.629567/4.115434 | 0.289264/4.109623 | 0.116298/3.098442 |

All tests completed. Results saved to jacobi_results_multicore
