Size,np,ComputeTime,CommunicationTime,TotalTime
480,1,0.077989,0.002704,0.080693
480,4,0.020241,0.004956,0.025197
480,9,0.012527,0.008575,0.021102
480,16,0.009791,0.008242,0.018033
480,25,0.005742,0.006931,0.012673
480,36,0.003458,0.007364,0.010823
480,64,0.001737,0.008525,0.010261
960,1,0.953718,0.015133,0.968851
960,4,0.164034,0.021207,0.185242
960,9,0.133726,0.056599,0.190326
960,16,0.064079,0.036396,0.100476
960,25,0.049865,0.031605,0.081470
960,36,0.025972,0.023439,0.049411
960,64,0.018434,0.043318,0.061752
1920,1,16.035040,0.039852,16.074892
1920,4,2.326180,0.552385,2.878565
1920,9,1.098321,0.220412,1.318734
1920,16,0.359972,0.087727,0.447700
1920,25,0.459775,0.262551,0.722326
1920,36,0.338655,0.194054,0.532709
1920,64,0.173722,0.174739,0.348461
3840,1,279.071397,0.151026,279.222423
3840,4,32.800824,9.643795,42.444619
3840,9,17.202953,2.743666,19.946619
3840,16,6.025027,1.818296,7.843324
3840,25,9.007812,4.804851,13.812663
3840,36,4.597998,3.164724,7.762722
3840,64,1.356884,0.970502,2.327386
