Size,np,ComputeTime,CommunicationTime,TotalTime
480,1,0.086158,0.002619,0.088776
480,2,0.043737,0.003253,0.046990
480,4,0.026099,0.005522,0.031622
480,8,0.018505,0.005232,0.023737
960,1,1.131793,0.008797,1.140590
960,2,0.660552,0.017953,0.678505
960,4,0.528826,0.024303,0.553129
960,8,0.411049,0.023949,0.434999
1920,1,16.826630,0.029874,16.856503
1920,2,9.395542,0.062570,9.458112
1920,4,6.191834,0.120505,6.312339
1920,8,4.583990,0.141650,4.725640
3840,1,282.769982,0.111296,282.881278
3840,2,143.758332,2.836084,146.594417
3840,4,80.633382,0.731459,81.364841
3840,8,49.011396,1.577456,50.588852
