Size,np,ComputeTime,CommunicationTime,TotalTime
480,1,0.076930,0.000750,0.077681
480,2,0.041072,0.004074,0.045146
480,4,0.023340,0.006430,0.029769
480,8,0.014368,0.007972,0.022341
480,16,0.007988,0.007742,0.015730
480,32,0.006154,0.009206,0.015360
960,1,0.940767,0.004533,0.945300
960,2,0.482246,0.029371,0.511617
960,4,0.286316,0.052297,0.338614
960,8,0.237789,0.110185,0.347973
960,16,0.210569,0.158404,0.368973
960,32,0.213028,0.175459,0.388487
960,64,0.133386,0.129646,0.263032
1920,1,15.630040,0.015065,15.645105
1920,2,7.808801,0.030901,7.839703
1920,4,4.028597,0.631102,4.659700
1920,8,2.371894,0.497191,2.869085
1920,16,1.798508,0.765914,2.564422
1920,32,1.597734,1.004025,2.601759
1920,64,1.574172,1.093853,2.668025
3840,1,282.075567,0.059241,282.134808
3840,2,138.215032,22.852772,161.067803
3840,4,64.521515,13.296288,77.817803
3840,8,36.060789,9.803795,45.864584
3840,16,23.525890,8.510913,32.036803
3840,32,17.352394,8.178382,25.530777
3840,64,16.915304,6.301640,23.216944
