Size,np,ComputeTime,CommunicationTime,TotalTime
1200,1,0.001108,0.003344,0.004451
1200,2,0.000547,0.003680,0.004227
1200,4,0.000256,0.004328,0.004584
1200,8,0.000145,0.004791,0.004936
1200,16,0.000064,0.005339,0.005403
2400,1,0.004501,0.013662,0.018163
2400,2,0.002359,0.015551,0.017910
2400,4,0.001170,0.016765,0.017935
2400,8,0.000551,0.017595,0.018146
2400,16,0.000445,0.019680,0.020126
2400,32,0.000138,0.019716,0.019854
4800,1,0.017773,0.054251,0.072024
4800,2,0.009087,0.061255,0.070343
4800,4,0.004691,0.065876,0.070567
4800,8,0.002325,0.068640,0.070964
4800,16,0.001440,0.078383,0.079823
4800,32,0.000656,0.080880,0.081536
4800,64,0.000298,0.087339,0.087637
9600,1,0.071205,0.212367,0.283572
9600,2,0.036445,0.240634,0.277079
9600,4,0.018406,0.254447,0.272853
9600,8,0.009272,0.264076,0.273348
9600,16,0.004829,0.268803,0.273632
9600,32,0.002684,0.295081,0.297764
9600,64,0.001304,0.333348,0.334652
19200,1,0.281739,0.749864,1.031603
19200,2,0.142734,0.823687,0.966421
19200,4,0.075464,0.887873,0.963337
19200,8,0.037058,0.924712,0.961770
19200,16,0.018838,0.940616,0.959455
19200,32,0.010382,1.045981,1.056363
19200,64,0.013754,1.274466,1.288220
