NX,NY,Reynolds,np,ComputeTime,CommunicationTime,TotalTime
100,50,100,1,0.198595,0.006189,0.000119
100,50,100,2,0.066844,0.853008,0.000061
100,50,100,4,0.035431,0.948559,0.000033
100,50,100,8,0.034172,1.186874,0.000032
100,50,100,16,0.026947,2.842992,0.000048
100,50,100,32,0.016182,3.513254,0.000016
100,50,500,1,0.189480,0.005925,0.000121
100,50,500,2,0.065901,0.754792,0.000062
100,50,500,4,0.034717,0.881342,0.000034
100,50,500,8,0.034591,1.406013,0.000033
100,50,500,16,0.025384,2.990936,0.000039
100,50,500,32,0.018237,2.310699,0.000025
100,50,1000,1,0.186466,0.005896,0.000119
100,50,1000,2,0.065603,0.667235,0.000061
100,50,1000,4,0.057885,0.958231,0.000061
100,50,1000,8,0.034416,0.893665,0.000033
100,50,1000,16,0.017573,2.940651,0.000068
100,50,1000,32,0.016332,2.422169,0.000051
200,100,100,1,0.585550,0.004690,0.000527
200,100,100,2,0.269854,1.615848,0.000272
200,100,100,4,0.154782,2.184751,0.000143
200,100,100,8,0.141101,2.258108,0.000142
200,100,100,16,0.073967,3.826228,0.000068
200,100,100,32,0.073654,4.855921,0.000072
200,100,500,1,0.576091,0.005327,0.000477
200,100,500,2,0.261915,1.612367,0.000243
200,100,500,4,0.151569,2.145821,0.000129
200,100,500,8,0.136849,2.502233,0.000127
200,100,500,16,0.084338,4.014758,0.000058
200,100,500,32,0.072578,5.532327,0.000076
200,100,1000,1,0.566133,0.004823,0.000476
200,100,1000,2,0.260662,1.619462,0.000243
200,100,1000,4,0.140256,2.351674,0.000130
200,100,1000,8,0.137589,2.698452,0.000127
200,100,1000,16,0.098768,4.041152,0.000094
200,100,1000,32,0.064586,4.995711,0.000037
400,200,100,1,2.709226,0.010129,0.002670
400,200,100,2,2.434175,1.280109,0.002372
400,200,100,4,2.461496,1.617455,0.002432
400,200,100,8,1.842868,2.427889,0.002354
400,200,100,16,0.387488,3.500504,0.000387
400,200,100,32,0.217666,4.926298,0.000195
400,200,500,1,2.685931,0.009942,0.002565
400,200,500,2,2.379211,5.103876,0.002388
400,200,500,4,2.411194,7.094887,0.002467
400,200,500,8,1.942752,9.004452,0.002340
400,200,500,16,0.408415,12.502444,0.000516
400,200,500,32,0.190454,13.348136,0.000158
400,200,1000,1,2.688122,0.009962,0.002608
400,200,1000,2,2.332509,4.331889,0.002353
400,200,1000,4,2.397647,6.172087,0.002430
400,200,1000,8,1.882785,8.296017,0.002242
400,200,1000,16,0.344142,11.115388,0.000366
400,200,1000,32,0.168943,13.207107,0.000130
800,400,100,1,11.568251,0.010735,0.011452
800,400,100,2,10.925767,3.620075,0.010843
800,400,100,4,11.247399,4.220746,0.011153
800,400,100,8,11.477539,6.300578,0.011563
800,400,100,16,5.702905,9.648365,0.005796
800,400,100,32,2.199130,10.626385,0.002826
800,400,500,1,11.568623,0.010918,0.011536
800,400,500,2,10.889374,17.674849,0.010959
800,400,500,4,11.084674,24.513108,0.011154
800,400,500,8,11.537089,32.977995,0.011816
800,400,500,16,5.772773,47.540911,0.005841
800,400,500,32,2.162852,49.265399,0.002645
800,400,1000,1,11.633032,0.010525,0.011489
800,400,1000,2,11.019991,18.925532,0.010998
800,400,1000,4,11.124877,23.961056,0.011906
800,400,1000,8,11.340443,33.052970,0.011650
800,400,1000,16,5.676350,44.664415,0.005766
800,400,1000,32,2.342095,48.164475,0.002425
