Conjugate Gradient Method - Cluster Environment Results
=============================================

Environment A (8 Nodes Cluster)

Format: ComputeTime/CommunicationTime (seconds)


      | np=1    | np=2    | np=4    | np=8    | np=16   | np=32   |
------|----------|----------|----------|----------|----------|----------|
N=128 | 0.001006/0.000090 | 0.000392/0.000158 | 0.000161/0.000310 | 0.000166/0.000542 | 0.001631/0.016806 | 0.003209/0.048653 |
N=256 | 0.001941/0.000210 | 0.000911/0.000310 | 0.000500/0.000935 | 0.000518/0.000789 | 0.005701/0.022664 | 0.007144/0.067954 |
N=512 | 0.006446/0.000785 | 0.003136/0.000783 | 0.003022/0.001335 | 0.001627/0.001527 | 0.002841/0.020872 | 0.006036/0.045856 |
N=1024| 0.024073/0.003421 | 0.012516/0.003756 | 0.006694/0.004024 | 0.006499/0.005353 | 0.009563/0.052408 | 0.014153/0.082672 |
N=2048| 0.083373/0.013459 | 0.043197/0.013756 | 0.023284/0.014282 | 0.021995/0.018820 | 0.017910/0.169323 | 0.011782/0.242508 |
N=4056| 0.326571/0.051746 | 0.168706/0.052648 | 0.090202/0.055390 | 0.085026/0.071576 | 0.061020/0.638332 | 0.050227/0.966502 |
N=8112| 1.090582/0.206226 | 0.560221/0.202974 | 0.299432/0.215593 | 0.282027/0.275029 | 0.168726/2.443838 | 0.091167/3.471949 |
N=16224| 4.373017/0.794856 | 2.239118/0.766598 | 1.208740/0.785167 | 1.132491/1.072734 | 0.593561/9.731418 | 0.307504/13.864063 |

All tests completed. Results saved to conjugate_gradient_results_cluster
