N,np,ComputeTime,CommunicationTime,TotalTime,Iterations
128,1,0.000294,0.000050,0.000348,5
128,2,0.000195,0.000187,0.000385,5
128,4,0.000071,0.002628,0.003039,5
128,8,0.000037,0.030036,0.030524,5
128,16,0.000024,0.923974,0.979996,5
128,32,0.000013,1.784658,1.854061,5
128,64,0.000047,0.142778,0.144347,5
256,1,0.001532,0.000279,0.001817,5
256,2,0.000583,0.001523,0.002111,5
256,4,0.000440,0.008453,0.009100,5
256,8,0.000145,0.667818,0.667966,5
256,16,0.000073,0.587927,0.615997,5
256,32,0.000038,0.836687,0.876752,5
256,64,0.000020,0.093708,0.097961,5
512,1,0.003313,0.000679,0.004002,4
512,2,0.003604,0.020099,0.023795,4
512,4,0.000870,0.190936,0.191836,4
512,8,0.003455,0.037054,0.040771,4
512,16,0.000638,0.459753,0.524415,4
512,32,0.000115,1.111744,1.187882,4
512,64,0.000065,0.044485,0.055798,4
1024,1,0.033863,0.012482,0.046363,4
1024,2,0.030345,0.017980,0.048529,4
1024,4,0.017639,0.029219,0.046866,4
1024,8,0.005426,0.115778,0.122961,4
1024,16,0.007137,0.243831,0.274321,4
1024,32,0.000584,1.770586,1.823235,4
1024,64,0.000446,0.143341,0.145698,4
2048,1,0.222052,0.060222,0.282378,4
2048,2,0.168317,0.111767,0.280221,4
2048,4,0.045031,0.059287,0.104349,4
2048,8,0.008744,0.865767,0.874544,4
2048,16,0.024797,0.896454,0.958945,4
2048,32,0.002491,1.807523,1.870107,4
2048,64,0.000907,0.162982,0.168298,4
4056,1,0.148503,0.043824,0.192393,3
4056,2,0.080482,0.098243,0.178761,3
4056,4,0.045088,0.338284,0.397430,3
4056,8,0.020240,0.985171,1.005427,3
4056,16,0.032248,0.950145,1.003049,3
4056,32,0.022294,1.220835,1.319635,3
4056,64,0.003282,0.159533,0.163374,3
8112,1,0.712431,0.186901,0.899472,3
8112,2,0.635515,0.386018,1.021598,3
8112,4,0.416739,0.677855,1.094630,3
8112,8,0.247062,1.058827,1.326159,3
8112,16,0.147083,2.135795,2.319547,3
8112,32,0.035993,3.896743,3.932753,3
8112,64,0.010853,0.716862,0.732428,3
16224,1,3.969914,1.041564,5.011709,3
16224,2,3.411678,1.108118,4.519932,3
16224,4,1.488502,1.659040,3.179702,3
16224,8,1.015346,2.645543,3.696803,3
16224,16,0.401775,3.128869,3.562678,3
16224,32,0.228014,5.676805,5.963926,3
16224,64,0.069599,3.268037,3.345201,3
