Gauss-Seidel Iteration - Multicore Environment Results
=================================================

Environment B (Multicore System - 1 CPU with 64 cores)

Format: ComputeTime/CommunicationTime (seconds)

      | np=1    | np=2    | np=4    | np=8    | np=16   | np=32   | np=64   |
------|----------|----------|----------|----------|----------|----------|----------|
N=128 | 0.000294/0.000050 | 0.000195/0.000187 | 0.000071/0.002628 | 0.000037/0.030036 | 0.000024/0.923974 | 0.000013/1.784658 | 0.000047/0.142778 |
N=256 | 0.001532/0.000279 | 0.000583/0.001523 | 0.000440/0.008453 | 0.000145/0.667818 | 0.000073/0.587927 | 0.000038/0.836687 | 0.000020/0.093708 |
N=512 | 0.003313/0.000679 | 0.003604/0.020099 | 0.000870/0.190936 | 0.003455/0.037054 | 0.000638/0.459753 | 0.000115/1.111744 | 0.000065/0.044485 |
N=1024| 0.033863/0.012482 | 0.030345/0.017980 | 0.017639/0.029219 | 0.005426/0.115778 | 0.007137/0.243831 | 0.000584/1.770586 | 0.000446/0.143341 |
N=2048| 0.222052/0.060222 | 0.168317/0.111767 | 0.045031/0.059287 | 0.008744/0.865767 | 0.024797/0.896454 | 0.002491/1.807523 | 0.000907/0.162982 |
N=4056| 0.148503/0.043824 | 0.080482/0.098243 | 0.045088/0.338284 | 0.020240/0.985171 | 0.032248/0.950145 | 0.022294/1.220835 | 0.003282/0.159533 |
N=8112| 0.712431/0.186901 | 0.635515/0.386018 | 0.416739/0.677855 | 0.247062/1.058827 | 0.147083/2.135795 | 0.035993/3.896743 | 0.010853/0.716862 |
N=16224| 3.969914/1.041564 | 3.411678/1.108118 | 1.488502/1.659040 | 1.015346/2.645543 | 0.401775/3.128869 | 0.228014/5.676805 | 0.069599/3.268037 |

All tests completed. Results saved to gauss_seidel_results_multicore
