Jacobi Iteration - Local PC Environment Results
=============================================

Environment: AMD Ryzen 7 5800H (8 cores, 16 threads)

Format: ComputeTime/CommunicationTime (seconds)

      | np=1    | np=2    | np=4    | np=8    |
------|----------|----------|----------|----------|
N=128 | 0.000400/0.000076 | 0.000176/0.000106 | 0.000120/0.000229 | 0.000060/0.000476 |
N=256 | 0.001654/0.000346 | 0.000741/0.000428 | 0.000479/0.000489 | 0.000259/0.001003 |
N=512 | 0.005539/0.001391 | 0.002437/0.001838 | 0.001325/0.001713 | 0.000461/0.001572 |
N=1024| 0.015063/0.004041 | 0.010247/0.008229 | 0.004357/0.004747 | 0.002685/0.005916 |
N=2048| 0.048083/0.015767 | 0.024799/0.016542 | 0.014121/0.018786 | 0.008921/0.023139 |
N=4056| 0.193100/0.058670 | 0.107151/0.064204 | 0.061792/0.078059 | 0.037978/0.100127 |
N=8112| 0.739844/0.227859 | 0.393860/0.241464 | 0.220759/0.282273 | 0.139054/0.355208 |
N=16224| 2.231238/0.904124 | 1.158585/0.973303 | 0.662321/1.125102 | 0.414212/1.386885 |

All tests completed. Results saved to jacobi_results_local
