N,np,ComputeTime,CommunicationTime,TotalTime
128,1,0.002172,0.000088,0.002261
128,2,0.001629,0.000308,0.001940
128,4,0.000514,0.000303,0.000822
128,8,0.000525,0.000598,0.001131
256,1,0.024454,0.000400,0.024855
256,2,0.011634,0.000530,0.012166
256,4,0.005814,0.006602,0.012424
256,8,0.006097,0.001568,0.007679
512,1,0.187934,0.001386,0.189321
512,2,0.098403,0.002104,0.100512
512,4,0.130258,0.003235,0.133514
512,8,0.226722,0.007810,0.234561
1024,1,10.822966,0.006023,10.828991
1024,2,5.581937,0.008762,5.590704
1024,4,3.013920,0.013640,3.027591
1024,8,2.248861,0.016522,2.265423
2048,1,86.107127,0.023888,86.131018
2048,2,53.578590,0.034423,53.613020
2048,4,39.736480,0.048247,39.784759
2048,8,36.584301,0.065717,36.650040
