Implementation,N,Processors,Iterations,ComputeTime,CommunicationTime,TotalTime,Residual
StandardCG,1000,1,7,0.006325,0.002919,0.009287,1.020337e-07
StandardCG,1000,2,7,0.003496,0.003048,0.006576,1.020337e-07
StandardCG,1000,4,7,0.002517,0.003815,0.006358,1.020337e-07
StandardCG,1000,8,7,0.001773,0.004938,0.006845,1.020337e-07
StandardCG,2000,1,6,0.022992,0.011432,0.034467,3.412422e-07
StandardCG,2000,2,6,0.012403,0.011564,0.024013,3.412422e-07
StandardCG,2000,4,6,0.010679,0.012203,0.022916,3.412422e-07
StandardCG,2000,8,6,0.010379,0.016735,0.027738,3.412422e-07
StandardCG,5000,1,6,0.142982,0.071657,0.214672,4.129880e-08
StandardCG,5000,2,6,0.075191,0.070649,0.145860,4.129880e-08
StandardCG,5000,4,6,0.064333,0.072605,0.136958,4.129880e-08
StandardCG,5000,8,6,0.066206,0.098529,0.165162,4.129880e-08
StandardCG,10000,1,5,0.478519,0.339015,0.817556,4.327201e-07
StandardCG,10000,2,5,0.251831,0.290151,0.541997,4.327201e-07
StandardCG,10000,4,5,0.213312,0.297346,0.510661,4.327201e-07
StandardCG,10000,8,5,0.213842,0.398775,0.613011,4.327201e-07
StandardCG,20000,1,5,2.538725,23.518873,26.786620,1.065323e-07
StandardCG,20000,2,5,1.292089,35.071156,36.239182,1.065323e-07
StandardCG,20000,4,5,1.167485,29.563717,30.706894,1.065323e-07
StandardCG,20000,8,5,1.020938,70.093539,71.209070,1.065323e-07
StandardCG,1000,1,10,0.001762,0.007351,0.009159,8.616481e-07
StandardCG,1000,2,238,0.010959,0.005559,0.016616,-nan
StandardCG,1000,4,37,0.000919,0.004895,0.005857,-nan
StandardCG,1000,8,44,0.000422,0.005825,0.006420,-nan
StandardCG,2000,1,9,0.007788,0.029263,0.037111,2.406964e-07
StandardCG,2000,2,162,0.028679,0.019615,0.048392,-nan
StandardCG,2000,4,79,0.004039,0.016637,0.020743,-nan
StandardCG,2000,8,1000,0.026396,0.052848,0.080271,3.566028e+21
StandardCG,5000,1,8,0.050662,0.177815,0.228527,8.610010e-08
StandardCG,5000,2,381,1.013225,0.128103,1.141849,-nan
StandardCG,5000,4,185,0.238195,0.103971,0.342512,-nan
StandardCG,5000,8,127,0.067654,0.120587,0.189582,-nan
StandardCG,10000,1,7,0.177070,0.706971,0.884088,2.088504e-07
StandardCG,10000,2,405,4.197481,0.448491,4.646515,-nan
StandardCG,10000,4,163,0.837934,0.367202,1.205459,-nan
StandardCG,10000,8,23,0.070875,0.424620,0.496224,-nan
StandardCG,20000,4,128,2.606945,68.222128,70.870905,-nan
StandardCG,20000,8,29,0.465047,97.800490,98.130329,-nan
